Etiq-Strain+Automat+CG+y
AB073912=swJ570. 3b.JPN.Tochigi.pig(*).CG.2000
KF514088=HEV_EW89. 3e.GBR.hum.2006
KF514089=HEV_EW8. 3e.GBR.hum.2003
KF514090=HEV_EW90. 3e.GBR.hum.2006
KF514091=HEV_EW91. 3e.GBR.hum.2006
KF514092=HEV_EW92. 3e.GBR.hum.2006
KF514093=HEV_EW93. 3e.GBR.hum.2006
KF514094=HEV_EW94. 3e.GBR.hum.2006
KF514095=HEV_EW95. 3e.GBR.hum.2006
KF514096=HEV_EW96. 3e.GBR.hum.2006
KF514097=HEV_EW97. 3a.GBR.hum.2006
KF514098=HEV_EW98. 3e.GBR.hum.2006
KF514099=HEV_EW99. 3e.GBR.hum.2006
KF514100=HEV_EW9. 3e.GBR.hum.2004
KF679999=He_Uy3. 3l.URY.hum.2010
KF680000=He_Uy4. 3l.URY.hum.2010
KF736234=CHN-QH-Yak27. 4c.CHN.yak.CG.2013
KF891380=ITswHEV1331. 3f.ITA.pig
KF922359=rt93100008. 3e.FRA.hum.CG.2009
KJ013414=CHN-BJ-r14(8). Rab.CHN.rabbit.CG.2013
KJ013415=CHN-BJ-r14(9). Rab.CHN.rabbit.CG.2013
KJ507955=swSTHY12-VAS19/2003/CA. 3a.CAN.pig.CG.2003
KJ507956=swSTHY42-VAS49/2003/CA. 3b.CAN.pig.CG.2003
KJ547592=huFR_D. 3f.DEU.hum.FUH.2014
KJ547593=huFR_R. 3f.DEU.hum.FUH.2014
KJ701409=AB_7110. 3c.FRA.Marseille.hum.CG.2009
KJ873911=FR. 3f.DEU.Freiburg.hum.UMCF.CG.2013
KJ873912=FR. 3f.DEU.Freiburg.hum.UMCF.CG.2013
KR261083=Dj27/89 H844. Rab.DEU.rabbit.FLI.1989
L08816=CHT-87. 1b.CHN.Uighur.hum(*).CG.1986
L25547=HPEGENA. 1b.CHN.CG
L25595=K52-87. 1b.CHN.Xinjiang.hum(*).CG.1987
M32400=Burma. 1a.Burma.mac-hum
M73218=Burma. 1a.Burma.mac-hum(*).CG.1982
M74506=Mexico. 2a.MEX.Telixtac.mac-hum(*).CG.1986
M80581=SAR-55. 1b.PAK.Sargodha.mac(*).CG.1987
Rabbit-126.HVR.247nt=Ra-126. Rab.DEU.rabbit.FLI.1989
TV44-10.p13x14=Bugewitz. 3b.DEU.MV,Ovp.FLI.2010
U22532=Hyderabad. 1a.IND
U40044=2B Abbottabad, Pakistan. 1a.PAK
WS157-10.p13x15=WS157-10. 3i.DEU.MV,Ovp.wb.FLI.2010
WS46_Galle_TV13-13=WS46. 3i.DEU.FLI.CG
WS5-FLI.feb27.K.HVR.349nt=Riems. 3i.DEU.MV,Riems.wb.FLI.2012
WS5-FLI.feb27.K.RdRp.280nt=Riems. 3i.DEU.MV,Riems.wb.2012
WS93_Galle_TV44-10=WS93. 3i.DEU.FLI
WS9-FLI.feb07.K.HVR.349nt=Riems. 3i.DEU.MV,Riems.wb.FLI.2012
WS9-FLI.feb07.K.RdRp.280nt=Riems. 3i.DEU.MV,Riems.wb.FLI.2012
X98292=hev037. 1c.IND.hum(*).CG.1992
X99441=Mad-93. 1a.IND.Madras.hum(*).CG.1993
